Reporter Name,Partner Name,Year,Trade Flow,Product Group,Export (US$ Thousand),Import (US$ Thousand),Export Product Share (%),Import Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand)
Europe & Central Asia,Antarctica,2017,EXPIMP,Food Products,680.25,1.1,2.94,0.06,,,,0.53,0.04,11,9.09,9.09,0,81.82,10,0,0,0.04,1.1,0.53,0.04,11,9.09,9.09,0,81.82,10,0,0,0.04,1.1
Europe & Central Asia,Fr. So. Ant. Tr,2017,EXPIMP,Food Products,447.95,31,2.42,0.32,,,,4.54,1.75,182,2.2,34.62,3.85,59.34,20,0,17.01,17.27,11.79,4.83,2.62,182,2.2,3.3,13.19,81.32,20,0,28.12,28.38,0.68
Europe & Central Asia,Antigua and Barbuda,2017,EXPIMP,Food Products,10625.62,3809.86,3.55,3.14,,,,3.47,0.03,629,5.88,53.26,3.82,37.04,29.32,0,21,25.86,3710.89,7.16,0.83,629,13.99,7.79,14.47,63.75,55.83,0,63.76,233.34,3503.41
Europe & Central Asia,Australia,2017,EXPIMP,Food Products,2640368.33,667435.92,6.37,3.44,,,,15.26,10.39,13603,21.26,6.99,13.74,58.01,374.71,0,564841.97,623732.7,29178.9,15.26,10.39,13603,21.26,6.99,13.74,58.01,374.71,0,564841.97,623732.7,29178.9
Europe & Central Asia,Austria,2017,EXPIMP,Food Products,5888846.49,6098675.66,4.07,5.05,,,,17.05,14.26,5154,28.37,37.85,6.15,27.63,3000,0,38455.94,434827.59,133047.7,24.59,21.03,5154,50.72,10.46,7.37,31.45,3000,0,41937.93,548681.06,19194.23
Europe & Central Asia,Azerbaijan,2017,EXPIMP,Food Products,632687.57,55890.46,9.8,0.43,,,,7.44,1.31,4806,27.51,26.53,3.56,42.41,179.36,0,91.32,2408.89,39437.27,12.58,5.43,4806,42.66,3.77,6.43,47.15,179.36,0,7256.73,40655.68,1190.48
Europe & Central Asia,Burundi,2017,EXPIMP,Food Products,4510.54,10.25,5.07,0.04,,,,0,0,89,0,100,0,0,0,0,0,0,10.25,10.46,12.05,89,52.81,3.37,13.48,30.34,44.77,0,0.11,5.14,5.11
Europe & Central Asia,Belgium,2017,EXPIMP,Food Products,13900564.47,17702830.48,5.46,7.03,,,,16.6,16.41,5043,31.81,35.99,3.45,28.75,3000,0,44675.08,443082.24,99286.49,22.36,22.72,5043,50.27,13.96,3.49,32.28,3000,0,44912.56,512309.59,30059.14
Europe & Central Asia,Benin,2017,EXPIMP,Food Products,99322.14,1529.37,13.92,2.2,,,,1.31,2.7,233,3,96.57,0.43,0,13.5,0,13.71,330.79,1197.11,10.84,14.54,233,55.79,6.87,13.73,23.61,44.77,0,14.52,1502.24,25.67
Europe & Central Asia,Bonaire,2017,EXPIMP,Food Products,12987.62,19.8,11.94,0.14,,,,0,0,71,0,100,0,0,0,0,0,0,19.8,10.35,29.96,71,15.49,14.08,38.03,32.39,133.09,0,3.91,19.73,0.07
Europe & Central Asia,Burkina Faso,2017,EXPIMP,Food Products,96085.81,829.11,11.3,0.05,,,,0.11,0.17,516,0.78,99.22,0,0,5.1,0,0,56.56,612.15,12.85,9.67,516,69.96,4.07,5.81,20.16,103.94,0,0.42,667.54,1.17
Europe & Central Asia,Bangladesh,2017,EXPIMP,Food Products,140725.26,72846.24,2.6,0.28,,,,0.87,1.17,4043,1.11,98.66,0,0.22,76.78,0,0,10395.24,83856.17,17.19,10.05,4043,56.72,1.86,10.14,31.29,107.51,0,5143.67,93958.34,293.07
Europe & Central Asia,Bulgaria,2017,EXPIMP,Food Products,1495260.92,1154848.77,5.1,4.7,,,,16.53,8.05,3556,35.12,35.18,6.27,23.43,3000,0,16036.87,172168.44,68181,23.2,14.34,3556,58.52,8.07,6.33,27.08,3000,0,16468.41,238560.84,1788.6
Europe & Central Asia,Bahrain,2017,EXPIMP,Food Products,269454.51,127.77,9.08,0.01,,,,16.33,7.95,473,25.37,4.23,12.05,58.35,94.81,0,58.18,64.34,5.66,17.35,8.53,473,25.37,2.54,12.05,60.04,103.94,0,58.18,65.9,4.1
"Europe & Central Asia,""Bahamas, The"",2017,EXPIMP,Food Products,26465.94,9176.7,1.92,2.3,,,,0.9,0.05,481,1.25,80.46,0,18.3,30,0,0,351.75,8210.11,4.89,0.41,481,9.36,26.82,34.93,28.9,57.72,0,7802.4,8232.68,329.19"
Europe & Central Asia,Bosnia and Herzegovina,2017,EXPIMP,Food Products,744838.84,162580.4,9.08,2.73,,,,2.3,1.41,7615,1.21,74.05,2.21,22.53,708.23,0,2762.59,12359.5,145894.49,19.2,20.78,7615,36.85,4.83,10.82,47.5,708.23,0,34182.01,153133.69,5120.3
Europe & Central Asia,Saint Barthélemy,2017,EXPIMP,Food Products,17743.48,1966.65,13.99,15.11,,,,0.15,0,270,0,57.41,2.59,40,5.52,0,0.14,0.14,1966.6,12.52,11.02,270,4.07,5.56,20.74,69.63,133.09,0,20.65,587.33,1379.41
Europe & Central Asia,Belarus,2017,EXPIMP,Food Products,1327308.08,1033833.24,4.53,4.69,,,,6.16,0.68,5057,29.88,44.67,7.46,17.99,182.6,0,3887.49,36395.21,825261.19,11.59,7.41,5057,50.66,7.61,10.74,30.99,203.19,0,14338.36,825904.98,35751.42
Europe & Central Asia,Belize,2017,EXPIMP,Food Products,8769.74,77797.19,4,42.63,,,,1.07,0.01,410,0,99.02,0,0.98,39.17,0,0,47.1,77392.82,22.89,80.05,410,42.68,12.44,17.07,27.8,96.13,0,338.35,77323.35,116.57
Europe & Central Asia,Bermuda,2017,EXPIMP,Food Products,24509.39,8317.43,10.63,10.39,,,,0.37,0.03,472,0,65.47,1.48,33.05,12.99,0,0.1,65.25,8338.1,2.21,0.03,472,1.48,30.72,24.58,43.22,27.61,0,8152.7,8218.31,185.03
Europe & Central Asia,Bolivia,2017,EXPIMP,Food Products,28277.89,37995.31,2.5,5.44,,,,6.21,1.41,1329,3.99,20.92,15.05,60.05,94.81,0,396.32,7227.59,30805.83,36.13,11.69,1329,16.85,5.72,15.73,61.7,3000,0,1565.03,21368.62,16664.8
Europe & Central Asia,Brazil,2017,EXPIMP,Food Products,996934.46,7270834.47,2.48,16.14,,,,15.94,16.17,15852,36.89,7.24,10.63,45.24,708.23,0,158348.63,4613142.22,2761059.34,22.22,18.45,15852,36.93,5.99,10.63,46.45,3000,0,158348.63,4791503.1,2582698.45
Europe & Central Asia,Barbados,2017,EXPIMP,Food Products,27077.44,20242.71,10.33,24.1,,,,2.05,0.16,526,4.18,84.22,0,11.6,102.91,0,0,821.36,19282.24,6.67,3.7,526,8.17,42.02,29.09,20.72,102.91,0,16284.15,19063.88,1039.72
Europe & Central Asia,Brunei,2017,EXPIMP,Food Products,6389.08,0.28,2.54,0,,,,44.85,23.92,33,0,0,0,100,264.59,11.74,0,0.05,0,44.85,23.92,33,0,0,0,100,264.59,11.74,0,0.05,0
Europe & Central Asia,Bhutan,2017,EXPIMP,Food Products,1284.91,0.03,7.5,0,,,,0,0,1,0,100,0,0,0,0,0,0,0.03,14.1,14.1,1,100,0,0,0,14.1,14.1,0,0.03,0
Europe & Central Asia,Bunkers,2017,EXPIMP,Food Products,229811.05,18.26,1,0.79,,,,9.28,5.94,172,4.65,0,9.3,86.05,14.4,3.46,15.08,18.26,0,9.28,5.94,172,4.65,0,9.3,86.05,14.4,3.46,15.08,18.26,0
Europe & Central Asia,Bouvet Island,2017,EXPIMP,Food Products,12.88,1.96,1.01,0.1,,,,14.34,11.39,28,10.71,0,60.71,28.57,27.61,0.09,1.96,1.96,0,14.34,11.39,28,10.71,0,60.71,28.57,27.61,0.09,1.96,1.96,0
Europe & Central Asia,Botswana,2017,EXPIMP,Food Products,1392.05,0.99,0.44,0,,,,0,0,21,0,100,0,0,0,0,0,0,0.99,7.5,7.08,21,19.05,0,57.14,23.81,12.8,0.09,0.91,0.99,0
Europe & Central Asia,Central African Republic,2017,EXPIMP,Food Products,8452.36,88.74,7.88,0.49,,,,0.8,0.07,361,0,42.94,3.88,53.19,5.52,0,2.73,2.73,86.01,12.63,26.6,361,2.77,0.55,8.86,87.81,57.72,0,2.73,61.99,26.74
Europe & Central Asia,Canada,2017,EXPIMP,Food Products,3163849.91,849139.65,6.48,1.97,,,,17.55,15.29,15771,35.51,9.61,11.83,43.05,3000,0,113966.24,721363.13,107266.84,18.6,15.45,15771,36.54,7.73,11.83,43.91,3000,0,113966.24,723806.07,104823.9
Europe & Central Asia,Cocos (Keeling) Islands,2017,EXPIMP,Food Products,13.52,0.61,2.51,0.1,,,,0,0,11,0,100,0,0,0,0,0,0,0.61,0,0,11,0,100,0,0,0,0,0,0,0.61
Europe & Central Asia,Switzerland,2017,EXPIMP,Food Products,5188020.56,3299448.73,2.92,2.39,,,,10.06,5.09,22865,23.59,39.73,3.63,33.05,397.16,0,31895.21,742266.54,2420196.62,17.7,14.05,22865,35.39,6.38,12.29,45.94,495.57,0,1704367.59,3101309.01,61154.15
Europe & Central Asia,Chile,2017,EXPIMP,Food Products,545831.1,1167071.75,5.24,10.56,,,,5.7,4.13,15011,7.33,50.92,4.45,37.3,374.71,0,692813.31,884560.2,226487.49,14.7,10.23,15011,30.66,5.26,7.54,56.55,374.71,0,693760.6,1069176.05,41871.65
Europe & Central Asia,China,2017,EXPIMP,Food Products,7139959.15,3245492.57,2.38,0.56,,,,17.31,18.75,30628,50.99,6.43,7.86,34.73,3000,0,465370.5,2902134.86,237459.4,19.29,19.44,30628,51.36,5.29,7.86,35.49,3000,0,465370.5,2920929.78,218664.48
Europe & Central Asia,Cote d'Ivoire,2017,EXPIMP,Food Products,350498.88,4078398.51,10.18,66.56,,,,1.16,0.07,2682,1.75,83.89,0.89,13.46,263.99,0,58.98,66053.32,4417833.1,12.77,3.63,2682,44.59,4.51,12.64,38.26,264.59,0,120548.64,1589887.01,2893999.41
Europe & Central Asia,Cameroon,2017,EXPIMP,Food Products,163880.55,464526.3,9.22,21.72,,,,2.08,0.07,1564,0,77.37,1.21,21.42,708.23,0,4.19,640.39,477625.4,12.52,2.14,1564,37.47,5.05,10.42,47.06,708.23,0,2174.88,109717.83,368547.96
"Europe & Central Asia,""Congo, Rep."",2017,EXPIMP,Food Products,87204.82,8567.47,7.96,0.75,,,,4.28,1.01,97,29.9,17.53,26.8,25.77,19.23,0,6.14,1758.15,7103.96,6.52,1.02,97,29.9,12.37,27.84,29.9,22.73,0,6.14,1758.37,7103.74"
Europe & Central Asia,Cook Islands,2017,EXPIMP,Food Products,529.27,25.75,2.18,0.26,,,,11.17,7.7,235,22.13,1.7,8.94,67.23,24.34,0,19.3,25.75,0,13.41,9.3,235,22.13,1.7,8.94,67.23,27.84,0,19.3,25.75,0
Europe & Central Asia,Colombia,2017,EXPIMP,Food Products,339811.41,278563.17,4.36,3.14,,,,2.44,0.6,6462,3.96,71.93,3.31,20.8,263.99,0,11090.2,50874.24,238110.99,17.91,26.56,6462,35.35,5.2,13.6,45.85,264.59,0,16433.08,265629.66,23355.57
Europe & Central Asia,Comoros,2017,EXPIMP,Food Products,5230.7,0.13,8.11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,Cape Verde,2017,EXPIMP,Food Products,68902.42,34673.1,11.93,40.69,,,,2.28,0.01,772,0,40.16,14.51,45.34,55.66,0,227.79,246.77,34439.64,10.65,22.98,772,27.33,10.62,16.19,45.85,57.6,0,231.68,34518.52,167.89
Europe & Central Asia,Costa Rica,2017,EXPIMP,Food Products,83066.61,236726.88,5.48,6.28,,,,4.24,1.03,5569,4.29,74.45,2.37,18.89,263.33,0,3083.6,114709.4,142865.74,21,21.28,5569,58.57,3.7,4.18,33.54,263.33,0,3185.7,255521.84,2053.31
Europe & Central Asia,Cuba,2017,EXPIMP,Food Products,152145.03,559715.7,5.63,72.02,,,,12.27,10.84,1691,25.37,18.57,11.18,44.88,76.25,0,81860.15,326635.89,183879.33,33.5,39.6,1691,25.37,15.85,11.18,47.6,3000,0,81860.15,503120.4,7394.82
Europe & Central Asia,Curaçao,2017,EXPIMP,Food Products,53158.8,1085.77,13.09,0.25,,,,1.3,12.39,415,0.24,61.2,2.89,35.66,26.02,0,4.47,891.35,183.59,11.7,13.83,415,17.59,1.93,15.42,65.06,53.98,0,20.79,1042.03,32.92
Europe & Central Asia,Christmas Island,2017,EXPIMP,Food Products,0,15.57,,1.86,,,,27.03,35.38,66,25.76,3.03,18.18,53.03,133.09,0,1.25,15.57,0,27.03,35.38,66,25.76,3.03,18.18,53.03,133.09,0,1.25,15.57,0
Europe & Central Asia,Cayman Islands,2017,EXPIMP,Food Products,14707.57,150.44,0.76,0.03,,,,2.51,3.93,294,0.68,59.52,2.38,37.41,30,0,66.12,106.36,44.09,5.66,4.64,294,3.74,14.97,24.15,57.14,30.59,0,98.06,138.33,12.12
Europe & Central Asia,Cyprus,2017,EXPIMP,Food Products,803881.19,131642.82,9.92,7.06,,,,17.15,13.67,759,31.09,31.62,8.04,29.25,349.45,0,522.98,4067.67,7684.38,20.96,18.12,759,42.42,17,8.04,32.54,349.45,0,522.98,7773.92,3978.14
Europe & Central Asia,Czech Republic,2017,EXPIMP,Food Products,4169154.49,3836632.27,3.32,2.69,,,,18.45,8.9,3199,26.01,39.29,3.75,30.95,3000,0,7108.8,146350.22,40446.26,25.68,14.46,3199,50.52,9.82,3.81,35.85,3000,0,7892.64,180444.69,6351.79
Europe & Central Asia,Germany,2017,EXPIMP,Food Products,31783913.14,35004090.32,3.89,3.94,,,,16.81,23.02,9235,34.59,34.78,5.84,24.8,3000,0,238157.57,2680312.43,629640.62,22.58,27.82,9235,53.98,11.92,6.8,27.3,3000,0,249228.84,3097186.26,212766.79
Europe & Central Asia,Djibouti,2017,EXPIMP,Food Products,53801.98,1032.86,10.94,3.36,,,,0.51,0,17,11.76,88.24,0,0,5.1,0,0,2.25,1029.76,8.84,8.99,17,35.29,23.53,0,41.18,34.4,0,0,1007.23,24.78
Europe & Central Asia,Dominica,2017,EXPIMP,Food Products,4218.96,3428.79,11.44,34.61,,,,1.29,0.17,179,3.35,92.74,0,3.91,20,0,0,30.08,3346.23,7.38,0.98,179,40.22,19.55,22.91,17.32,133.09,0,98.81,246.44,3129.88
Europe & Central Asia,Denmark,2017,EXPIMP,Food Products,4842251.18,4928037.37,6.4,7.74,,,,23.66,21.1,3936,29.12,38.11,1.8,30.97,3000,0,8961.68,438520.26,220200.97,28.74,24.93,3936,45.55,18.32,1.85,34.27,3000,0,10244.47,477395.42,181325.82
Europe & Central Asia,Dominican Republic,2017,EXPIMP,Food Products,234987.41,241217.26,11.12,18.03,,,,3.25,0.77,3388,1.86,78.42,1.15,18.57,284.83,0,53.7,13877.91,252263.94,14.4,5.86,3388,24.09,9.06,14.2,52.66,284.83,0,77267.01,156321.21,109820.64
Europe & Central Asia,Algeria,2017,EXPIMP,Food Products,813820.53,111977.81,2.88,0.53,,,,9.41,19.9,1531,31.94,15.61,13.46,38.99,204.75,0,873.97,18112.2,65720.85,45.9,70.83,1531,40.56,5.16,13.52,40.76,3000,0,873.97,83307.8,525.24
Europe & Central Asia,Ecuador,2017,EXPIMP,Food Products,87597.32,1313200.09,3.04,23.82,,,,3.24,0.4,8284,4.85,81.66,1.36,12.12,386.01,0,2859.17,119212.03,1222435.71,16.5,16.65,8284,59.61,2.72,6.25,31.42,386.01,0,4310.51,1088405.68,253242.06
"Europe & Central Asia,""Egypt, Arab Rep."",2017,EXPIMP,Food Products,567117.84,175952.95,1.74,1.42,,,,8.07,6.66,9154,3.99,89.21,1.91,4.89,3000,0,3604.1,27665.05,142540.21,23.52,16.19,9154,49.54,2.85,9.67,37.94,3000,0,9303.82,143561.92,26643.33"
Europe & Central Asia,Eritrea,2017,EXPIMP,Food Products,526.28,39.22,0.61,0.17,,,,0,0,35,0,100,0,0,0,0,0,0,39.22,4.79,0.3,35,0,68.57,17.14,14.29,102.91,0,17.54,17.95,21.27
Europe & Central Asia,Spain,2017,EXPIMP,Food Products,10032914.96,12137362.92,4.5,5.8,,,,16.33,14.59,6890,35.36,34.37,5.46,24.82,3000,0,34068.05,752002.05,155415.12,21.9,17.19,6890,52.93,13.38,6.1,27.59,3000,0,36990.79,810284.3,97132.87
Europe & Central Asia,Estonia,2017,EXPIMP,Food Products,858427.96,439661.67,5.28,3.77,,,,15.56,4.06,1377,30.5,31.74,3.49,34.28,397.16,0,11367.17,30414.69,37303.29,19.3,7.68,1377,45.03,13.07,3.63,38.27,397.16,0,11368.32,40018.11,27699.88
Europe & Central Asia,Ethiopia(excludes Eritrea),2017,EXPIMP,Food Products,105953.72,11355.09,3.31,0.99,,,,0.35,0.01,1485,0.13,65.19,2.36,32.32,15,0,23.78,32.89,11313.42,18.59,15.08,1485,15.82,3.77,15.76,64.65,252.27,0,2346.05,11165.4,180.91
Europe & Central Asia,Finland,2017,EXPIMP,Food Products,2650170.45,662199.32,4.51,1.35,,,,15.35,15.46,1798,30.2,28.36,2.89,38.54,630.3,0,1238.97,139551.87,15596.82,19.95,17.72,1798,40.6,13.63,3,42.77,630.3,0,1239.26,144720.22,10428.47
Europe & Central Asia,Fiji,2017,EXPIMP,Food Products,7595.17,99894.01,10.14,90.87,,,,1.92,0.02,838,3.7,93.44,0.84,2.03,107.51,0,4.04,107.28,99532.52,18.03,82.37,838,54.06,8.47,5.13,32.34,107.51,0,304.21,96749.3,2890.5
Europe & Central Asia,Falkland Island,2017,EXPIMP,Food Products,8252.08,116.79,7.12,0.06,,,,2.5,0.37,44,4.55,95.45,0,0,10,0,0,4.31,111.23,19.64,27.62,44,75,4.55,0,20.45,55.83,0,0,115.54,0
Europe & Central Asia,France,2017,EXPIMP,Food Products,21692322.19,22674837.79,4.79,6.39,,,,17.72,15.46,8099,34.42,34.49,5.43,25.66,3000,0,42938.33,1642124.22,409717.36,23.23,18.14,8099,52.7,13.17,5.96,28.16,3000,0,45028.97,1837661.71,214179.87
Europe & Central Asia,Faeroe Islands,2017,EXPIMP,Food Products,107664.79,78883.32,10.99,6.57,,,,5.8,0.08,421,38.95,40.86,9.74,10.45,133.09,0,2.6,898.12,74343.12,8.94,3.42,421,52.97,25.65,9.74,11.64,133.09,0,2.6,6834.12,68407.13
Europe & Central Asia,Gabon,2017,EXPIMP,Food Products,125732.75,891,13.58,0.08,,,,12.18,6.44,741,7.29,5.26,16.87,70.58,74.44,0,291.91,381.69,509.2,14.47,9.12,741,7.29,4.45,16.87,71.39,76.78,0,291.91,412.33,478.55
Europe & Central Asia,United Kingdom,2017,EXPIMP,Food Products,24210844.94,10998106.97,6.21,4.6,,,,21.37,10.38,5672,24.67,41.24,4.44,29.65,3000,0,50592.93,717664.08,309763.43,27.44,14.29,5672,45.06,17.44,4.62,32.88,3000,0,52446.94,854858.53,172568.99
Europe & Central Asia,Georgia,2017,EXPIMP,Food Products,573891.95,393043.07,10.04,21.77,,,,1.9,0.18,9858,1.15,70.13,1.94,26.79,708.23,0,14823.37,26593.5,335666.34,11.81,7.98,9858,28.76,5.65,9.94,55.65,708.23,0,17061.38,307868.11,54391.73
Europe & Central Asia,Ghana,2017,EXPIMP,Food Products,236141.38,1788343.81,6.28,39.16,,,,2.41,0.16,2917,3.84,87.59,0.24,8.33,708.23,0,0.1,56817.91,1759191.26,13.37,5.08,2917,56.29,8.23,10.56,24.92,708.23,0,2254.43,789786.7,1026222.48
Europe & Central Asia,Gibraltar,2017,EXPIMP,Food Products,89605.85,2.5,1.36,0,,,,1.5,0.17,31,9.68,61.29,29.03,0,6,0,0.9,0.9,0.92,1.5,0.17,31,9.68,61.29,29.03,0,6,0,0.9,0.9,0.92
Europe & Central Asia,Guinea,2017,EXPIMP,Food Products,110441.5,12830.62,8.33,1.8,,,,0.22,0.01,441,0.23,75.51,1.59,22.68,12.8,0,56.44,69.65,12492.48,10.23,0.35,441,23.36,3.85,9.98,62.81,103.94,0,59.22,277,12285.13
"Europe & Central Asia,""Gambia, The"",2017,EXPIMP,Food Products,47206.29,2472.68,18.52,20.85,,,,0,0,14,0,100,0,0,0,0,0,0,160.15,15.96,18.97,14,35.71,28.57,7.14,28.57,57.6,0,32.26,158.14,2.01"
Europe & Central Asia,Guinea-Bissau,2017,EXPIMP,Food Products,30143.87,0.49,17.58,0.01,,,,0,0,14,0,100,0,0,0,0,0,0,0.49,15,18.8,14,7.14,28.57,0,64.29,55.83,0,0,0.31,0.18
Europe & Central Asia,Equatorial Guinea,2017,EXPIMP,Food Products,104849.6,2036.56,26.04,0.15,,,,1.18,0.34,104,0,56.73,4.81,38.46,26.02,0,95.68,95.68,1875.65,10.56,0.82,104,1.92,6.73,13.46,77.88,57.6,0,95.68,95.9,1875.43
Europe & Central Asia,Greece,2017,EXPIMP,Food Products,2465189.05,1955383.59,6.95,9.88,,,,15.75,8.37,4395,36.22,37.95,3.34,22.48,3000,0,13746.65,103160.5,72297.7,23.34,14.46,4395,60.46,10.13,3.46,25.96,3000,0,15248.8,155228.22,20229.98
Europe & Central Asia,Grenada,2017,EXPIMP,Food Products,3716.97,2488.37,9.75,18.78,,,,0.04,0.37,203,0.49,99.51,0,0,1,0,0,927.86,1560.51,3.98,0.56,203,17.24,21.67,15.27,45.81,55.83,0,188.89,1134.94,1353.43
Europe & Central Asia,Greenland,2017,EXPIMP,Food Products,95398.55,126116.8,13.53,17.17,,,,1.35,0.01,504,2.78,71.23,1.39,24.6,78.1,0,0.03,173.01,122512.34,9.63,19.9,504,43.45,15.28,5.56,35.71,78.1,0,0.95,122206.99,478.35
Europe & Central Asia,Guatemala,2017,EXPIMP,Food Products,84670.65,276781.97,6.78,19.52,,,,3.21,0.89,3211,3.24,66.33,4.55,25.88,204.75,0,51900.23,84445.6,134687.4,14.87,23.63,3211,40.7,8.44,8.35,42.51,204.75,0,52062.6,218082.34,1050.66
Europe & Central Asia,Guam,2017,EXPIMP,Food Products,5016.23,217.58,8.53,6.94,,,,5.23,11.98,27,55.56,14.81,29.63,0,17.6,0,51.31,217.58,0,5.23,11.98,27,55.56,14.81,29.63,0,17.6,0,51.31,217.58,0
Europe & Central Asia,Guyana,2017,EXPIMP,Food Products,11074.68,79656.01,7.35,21.17,,,,0.64,0,330,1.82,91.21,1.52,5.45,30,0,55.5,344.58,79247.36,7.99,64.95,330,19.09,30.91,29.7,20.3,96.13,0,10544.03,79528.4,63.54
"Europe & Central Asia,""Hong Kong, China"",2017,EXPIMP,Food Products,2422157.01,73001.26,4.12,0.27,,,,15.25,9.55,6431,28.89,7.93,14.38,48.79,292.51,0,13575.59,66265.38,1118.91,18.08,9.92,6431,29.19,6.78,14.38,49.65,292.51,0,13575.59,66516.91,867.38"
Europe & Central Asia,Honduras,2017,EXPIMP,Food Products,29163.22,67995.24,5.25,4.69,,,,2.18,0.57,1114,5.75,80.07,3.59,10.59,133.09,0,187.87,2543.38,67926.98,16.36,27.9,1114,65.71,4.58,7.09,22.62,133.09,0,204.68,69928.72,541.64
Europe & Central Asia,Croatia,2017,EXPIMP,Food Products,1374670.14,853383.63,6.47,7.33,,,,13.38,5.39,3206,24.83,54.15,0.59,20.43,3000,0,7330.76,101828.51,189682.15,23.98,21.17,3206,62.94,8.76,2.5,25.8,3000,0,20330.18,273794.28,17716.37
